Item,Spring,Spring Rain and Idra 1F,Summer,Summer Rain,Autumn,Autumn Rain,Winter,Winter Snow,Sand Pond,Idra B2,Idra B1,Yokmir Waterfall,Yokmir Pond,Water Ruins,Maya Road,Sechs Cave,Loc 17,Loc 18,Loc 19,Loc 20,Loc 21,Level Rate
Masu Trout,597,400,0,0,0,0,0,0,0,0,0,0,0,500,100,0,200,200,200,200,200,0
Squid,345,300,100,100,100,100,380,350,0,1020,10,0,0,300,100,300,0,0,0,0,0,0
Taimen,5,8,7,12,5,9,0,0,0,0,0,6,0,4,2,30,0,0,0,0,0,3
Sardine,70,70,200,200,50,50,190,190,0,10,20,0,100,200,100,100,0,0,0,0,0,0
Char,60,60,190,190,0,0,0,0,0,10,10,180,100,150,100,100,0,0,0,0,0,0
Chub,48,48,70,70,165,165,65,65,0,10,10,150,100,100,100,100,0,0,0,0,0,0
Glitter Snapper,4,6,2,2,4,8,1,1,0,0,0,0,0,4,2,1,0,0,0,0,0,3
Skipjack,40,40,5,5,50,50,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,1
Turbot,52,52,80,80,175,175,0,0,0,10,10,0,100,100,100,100,0,0,0,0,0,0
Gibelio,58,58,20,20,190,190,30,30,0,0,0,180,100,150,100,100,0,0,0,0,0,0
Salmon,0,0,0,0,210,210,0,0,0,0,0,0,0,200,100,0,0,0,0,0,0,0
Mackerel,175,175,200,200,410,400,200,200,0,0,20,0,100,200,100,100,0,0,0,0,0,0
Needlefish,190,190,0,0,0,0,220,220,0,0,0,0,0,300,100,220,0,0,0,0,0,0
Pike,0,0,560,400,622,400,0,0,0,0,0,0,0,500,100,0,0,0,0,0,0,0
Sunsquid,6,10,2,2,1,1,5,10,0,10,0,0,0,4,4,1,0,0,0,0,0,3
Shrimp,0,0,200,200,0,0,0,0,0,10,999,0,0,200,100,0,0,0,0,0,0,0
Snapper,25,30,10,10,20,20,5,5,0,10,10,0,0,10,30,0,0,0,0,0,0,2
Throbby Snapper,20,25,10,10,13,15,5,5,0,0,0,0,0,10,10,0,0,0,0,0,0,2
Rainbow Trout,45,45,60,60,0,0,0,0,0,0,0,150,100,100,100,100,0,0,0,0,0,1
Flounder,5,5,0,0,0,0,50,50,0,0,0,0,100,100,100,100,0,0,0,0,0,1
Blowfish,0,0,0,0,0,0,16,20,0,0,0,10,0,5,10,50,0,0,0,0,0,2
Yellowtail,0,0,5,5,5,5,25,30,0,0,0,0,0,5,10,0,0,0,0,0,0,2
Crucian Carp,185,185,420,350,10,10,0,0,0,30,30,200,0,300,100,0,0,0,0,0,0,0
Tuna,0,0,10,18,7,10,8,15,0,0,0,0,0,5,4,1,0,0,0,0,0,3
Girella,180,180,360,300,500,400,210,210,0,0,0,0,100,300,100,100,0,0,0,0,0,0
Fall Flounder,0,0,0,0,15,16,5,5,0,0,0,0,0,10,20,0,0,0,0,0,0,2
Cherry Salmon,400,350,0,0,0,0,453,400,0,0,0,300,0,500,100,300,0,0,0,0,0,0
Lamp Squid,20,25,10,10,18,18,5,5,0,69,0,0,0,10,20,0,0,0,0,0,0,2
Lobster,38,45,40,40,0,0,40,40,0,0,90,0,0,10,30,0,0,0,0,0,0,1
Pond Smelt,0,0,0,0,0,0,640,500,0,0,0,0,0,500,100,400,0,0,0,0,0,0
Sand Flounder,0,0,0,0,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockfish,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,3
Can,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,20,17,14,6,1,0
Boot,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,11,11,7,8,1,0
Rare Can,0,0,0,0,0,0,0,0,0,4,4,0,2,2,5,50,1,2,3,4,4,0
Legendary Scale,4,8,4,8,4,8,9,9,0,0,0,0,0,0,25,0,0,0,0,0,0,0
Dragon Fin,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Round Stone,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0